车型,城市,上牌量,级别,指导价(万元),能源类型,cluster
小蚂蚁,芜湖,49,微型车,5.49-7.69,燃油车,12
长安CS75 PLUS,乌海,49,SUV,11.39-14.99,燃油车,2
极氪009,厦门,14,MPV,43.90-89.90,新能源,1
缤越,温州,49,SUV,6.68-10.38,燃油车,2
比亚迪D1,厦门,14,MPV,16.08-16.98,新能源,1
卡罗拉,温州,49,紧凑型车,11.68-15.58,燃油车,3
博越L,潍坊,49,SUV,9.99-14.97,燃油车,2
北京BJ30,通辽,49,SUV,9.99-13.69,燃油车,2
长安欧尚X5 PLUS,唐山,49,SUV,9.19-11.49,燃油车,2
T-ROC探歌,唐山,49,SUV,15.89-17.87,燃油车,2
海豹06新能源,梧州,14,中型车,9.98-13.98,新能源,7
宝马3系,唐山,49,中型车,29.99-39.99,燃油车,5
长安Lumin,宿州,49,微型车,3.79-6.59,燃油车,12
深蓝S09,无锡,14,SUV,23.99-30.99,新能源,9
智界S7,无锡,14,中大型车,22.98-34.98,新能源,11
领克03,深圳,49,紧凑型车,12.78-42.03,燃油车,3
逍客,深圳,49,SUV,12.59-17.49,燃油车,2
凯美瑞,邵阳,49,中型车,17.18-25.98,燃油车,13
宝马X3,绍兴,49,SUV,34.99-48.69,燃油车,2
红旗H5,商丘,49,中型车,15.98-22.58,燃油车,5
欧拉好猫,商丘,49,小型车,10.58-13.58,燃油车,12
威兰达,泉州,49,SUV,17.38-26.48,燃油车,2
奔腾小马,齐齐哈尔,49,微型车,2.49-5.39,燃油车,12
奇瑞iCAR V23,青岛,49,SUV,9.98-14.98,燃油车,2
蒙迪欧,青岛,49,中型车,14.98-22.98,燃油车,5
AION UT,芜湖,14,小型车,6.98-10.18,新能源,9
奔腾小马,濮阳,49,微型车,2.49-5.39,燃油车,12
极氪7X,芜湖,14,SUV,22.99-26.99,新能源,9
途观L,萍乡,49,SUV,18.68-26.68,燃油车,2
奔腾小马,宁波,49,微型车,2.49-5.39,燃油车,12
帝豪,牡丹江,49,紧凑型车,6.29-14.98,燃油车,3
荣威i5,吕梁,49,紧凑型车,6.89-9.09,燃油车,3
五菱宏光V,洛阳,49,MPV,4.31-5.45,燃油车,1
宋Pro新能源,乌海,14,SUV,10.28-14.28,新能源,9
长安Lumin,漯河,49,微型车,3.79-6.59,燃油车,12
星越L,漯河,49,SUV,13.72-17.97,燃油车,2
逸动,柳州,49,紧凑型车,7.29-9.69,燃油车,3
汉兰达,乌海,14,SUV,24.98-34.88,新能源,9
君越,临沂,49,中型车,17.99-23.99,燃油车,5
北京越野BJ40增程,温州,14,SUV,17.98-29.98,新能源,9
零跑C01,温州,14,中大型车,13.68-20.88,新能源,11
艾瑞泽8,聊城,49,紧凑型车,9.99-14.89,燃油车,3
ID.4 X,济宁,49,SUV,15.99-28.34,燃油车,2
长安CS75 PLUS,呼伦贝尔,49,SUV,11.39-14.99,燃油车,2
银河星耀8,惠州,49,中大型车,12.58-16.58,燃油车,12
皓影,惠州,49,SUV,18.59-26.39,燃油车,2
唐L,渭南,14,SUV,22.98-28.98,新能源,9
海豹06GT,渭南,14,中型车,13.68-18.68,新能源,7
别克GL8新能源,渭南,14,MPV,24.99-41.99,新能源,1
北京越野BJ40增程,渭南,14,SUV,17.98-29.98,新能源,9
深蓝S07,渭南,14,SUV,14.99-20.79,新能源,9
AION UT,威海,14,小型车,6.98-10.18,新能源,9
领克03,惠州,49,紧凑型车,12.78-42.03,燃油车,3
朗逸,淮南,49,紧凑型车,8.00-15.19,燃油车,3
汉兰达,威海,14,SUV,24.98-34.88,新能源,9
轩逸,怀化,49,紧凑型车,10.86-17.49,燃油车,10
奔驰C级,淮安,49,中型车,33.48-38.06,燃油车,5
艾瑞泽8,菏泽,49,紧凑型车,9.99-14.89,燃油车,3
星瑞,菏泽,49,紧凑型车,9.97-14.57,燃油车,3
理想MEGA,潍坊,14,MPV,52.98-55.98,新能源,1
君越,菏泽,49,中型车,17.99-23.99,燃油车,5
长安欧尚X5 PLUS,衡水,49,SUV,9.19-11.49,燃油车,3
汉L,台州,14,中大型车,20.98-27.98,新能源,11
T-ROC探歌,邯郸,49,SUV,15.89-17.87,燃油车,2
帝豪,邯郸,49,紧凑型车,6.29-14.98,燃油车,3
银河星舰7 EM-i,阜阳,49,SUV,10.38-13.68,燃油车,2
博越L,阜阳,49,SUV,9.99-14.97,燃油车,2
轩逸,抚顺,49,紧凑型车,10.86-17.49,燃油车,10
唐新能源,铜仁,14,SUV,17.98-26.98,新能源,9
魏牌 蓝山,佛山,49,SUV,27.38-32.68,燃油车,2
红旗HS5,佛山,49,SUV,18.38-24.98,燃油车,2
缤越,佛山,49,SUV,6.68-10.38,燃油车,2
宏光MINIEV,铜陵,14,微型车,3.28-9.99,新能源,9
奔驰GLE,东莞,49,SUV,69.98-88.98,燃油车,12
宋Pro新能源,铜陵,14,SUV,10.28-14.28,新能源,9
沃尔沃XC60,东莞,49,SUV,39.69-47.49,燃油车,12
坦克400新能源,通辽,14,SUV,27.98-28.98,新能源,9
奥德赛,东莞,49,MPV,23.58-43.98,燃油车,12
长安CS75 PLUS,德州,49,SUV,11.39-14.99,燃油车,2
劲客,大庆,49,SUV,8.98-13.78,燃油车,2
皓影,赤峰,49,SUV,18.59-26.39,燃油车,2
领克03,常州,49,紧凑型车,12.78-42.03,燃油车,3
轩逸,长治,49,紧凑型车,10.86-17.49,燃油车,10
秦PLUS,铜川,14,紧凑型车,7.98-17.98,新能源,0
宋L DM-i,铁岭,14,SUV,13.58-17.58,新能源,9
银河星舰7 EM-i,沧州,49,SUV,10.38-13.68,燃油车,2
汉,铁岭,14,中大型车,16.58-25.98,新能源,11
五菱宏光S,滨州,49,MPV,0.00-0.00,燃油车,1
汉兰达,铁岭,14,SUV,24.98-34.88,新能源,9
宋L DM-i,天水,14,SUV,13.58-17.58,新能源,9
宋PLUS新能源,天水,14,SUV,13.58-18.08,新能源,9
朗逸,包头,49,紧凑型车,8.00-15.19,燃油车,3
途岳,安庆,49,SUV,12.59-21.66,燃油车,2
速腾,安庆,49,紧凑型车,12.79-17.29,燃油车,3
零跑B10,唐山,14,SUV,9.98-14.98,新能源,9
库斯途,郑州,49,MPV,16.98-22.08,燃油车,1
汉L,唐山,14,中大型车,20.98-27.98,新能源,11
腾势N9,唐山,14,SUV,38.98-44.98,新能源,9
银河L7,银川,49,SUV,11.58-16.97,燃油车,2
AION S,唐山,14,紧凑型车,13.98-17.98,新能源,0
奔驰GLB,武汉,49,SUV,31.19-36.79,燃油车,2
传祺M8,武汉,49,MPV,17.98-34.28,燃油车,1
天逸 C5 AIRCROSS,武汉,49,SUV,14.97-18.27,燃油车,2
荣威D7,天津,49,中型车,12.38-21.98,燃油车,5
铂智3X,太原,49,SUV,10.98-15.98,燃油车,2
AION Y,泰州,14,SUV,9.98-14.58,新能源,9
银河星舰7 EM-i,石家庄,49,SUV,10.38-13.68,燃油车,2
风云T9,石家庄,49,SUV,12.99-19.39,燃油车,2
钛3,石家庄,49,SUV,13.38-19.38,燃油车,2
汉L,泰安,14,中大型车,20.98-27.98,新能源,11
银河L6,沈阳,49,紧凑型车,8.28-14.98,燃油车,3
伊兰特,沈阳,49,紧凑型车,9.98-14.98,燃油车,3
冒险家,上海,49,SUV,23.58-34.58,燃油车,2
博越L,南京,49,SUV,9.99-14.97,燃油车,2
途岳,南昌,49,SUV,12.59-21.66,燃油车,2
君威,南昌,49,中型车,15.98-17.58,燃油车,5
皓影,拉萨,49,SUV,18.59-26.39,燃油车,2
宝马5系,兰州,49,中大型车,43.99-52.59,燃油车,12
哈弗猛龙新能源,塔城,14,SUV,16.58-19.28,新能源,9
海豹05 DM-i,宿州,14,紧凑型车,7.98-10.38,新能源,0
逍客,济南,49,SUV,12.59-17.49,燃油车,2
铂智3X,合肥,49,SUV,10.98-15.98,燃油车,2
领克08 EM-P,合肥,49,SUV,18.58-24.88,燃油车,2
奔驰GLE,杭州,49,SUV,69.98-88.98,燃油车,2
钛3,哈尔滨,49,SUV,13.38-19.38,燃油车,2
长安启源Q07,贵阳,49,SUV,12.98-17.18,燃油车,1
RAV4荣放,贵阳,49,SUV,16.98-26.38,燃油车,1
理想MEGA,苏州,14,MPV,52.98-55.98,新能源,2
钛3,福州,49,SUV,13.38-19.38,燃油车,2
熊猫,福州,49,微型车,2.99-5.39,燃油车,1
AION V,苏州,14,SUV,12.98-19.36,新能源,2
奥迪A6L,福州,49,中大型车,42.79-65.68,燃油车,12
捷达VS5,重庆,49,SUV,8.79-12.19,燃油车,2
凌渡,重庆,49,紧凑型车,14.39-19.09,燃油车,3
雷克萨斯NX,成都,49,SUV,31.88-54.88,燃油车,13
途观L,长春,49,SUV,18.68-26.68,燃油车,2
启辰VX6,北京,48,SUV,13.49-19.98,燃油车,2
赛那SIENNA,淄博,48,MPV,29.98-41.18,燃油车,1
宝马3系,珠海,48,中型车,29.99-39.99,燃油车,4
雷克萨斯RX,中山,48,SUV,38.00-61.90,燃油车,2
速腾,中山,48,紧凑型车,12.79-17.29,燃油车,3
星愿,肇庆,48,小型车,6.88-9.78,燃油车,12
思域,湛江,48,紧凑型车,12.99-18.79,燃油车,3
皓影,张家口,48,SUV,18.59-26.39,燃油车,2
海狮05 EV,随州,14,SUV,11.78-13.78,新能源,9
海豹06新能源,随州,14,中型车,9.98-13.98,新能源,7
秦L,随州,14,中型车,9.98-15.38,新能源,7
元PLUS,随州,14,SUV,11.58-14.78,新能源,9
格瑞维亚,枣庄,48,MPV,29.98-41.68,燃油车,1
宋Pro新能源,遂宁,14,SUV,10.28-14.28,新能源,9
轩逸,云浮,48,紧凑型车,10.86-17.49,燃油车,10
皓影,运城,48,SUV,18.59-26.39,燃油车,2
传祺GS3,运城,48,SUV,8.58-11.18,燃油车,2
长安Lumin,玉林,48,微型车,3.79-6.59,燃油车,12
凯美瑞,岳阳,48,中型车,17.18-25.98,燃油车,13
长安启源Q07,榆林,48,SUV,12.98-17.18,燃油车,2
长安CS75 PLUS,榆林,48,SUV,11.39-14.99,燃油车,2
五菱宏光S,榆林,48,MPV,0.00-0.00,燃油车,1
轩逸,宜昌,48,紧凑型车,10.86-17.49,燃油车,10
君越,烟台,48,中型车,17.99-23.99,燃油车,4
君威,烟台,48,中型车,15.98-17.58,燃油车,4
轩逸,扬州,48,紧凑型车,10.86-17.49,燃油车,10
RAV4荣放,阳江,48,SUV,16.98-26.38,燃油车,2
奥迪A4L,盐城,48,中型车,28.98-40.08,燃油车,4
凯美瑞,盐城,48,中型车,17.18-25.98,燃油车,13
腾势N7,深圳,14,SUV,23.98-32.98,新能源,9
格瑞维亚,徐州,48,MPV,29.98-41.68,燃油车,1
凯美瑞,湘潭,48,中型车,17.18-25.98,燃油车,13
钛3,厦门,48,SUV,13.38-19.38,燃油车,2
极石01,厦门,48,SUV,29.99-35.99,燃油车,2
银河星耀8,无锡,48,中大型车,12.58-16.58,燃油车,12
红旗HS3 PHEV,邵阳,14,SUV,15.98-15.98,新能源,9
汉L,邵阳,14,中大型车,20.98-27.98,新能源,11
日产N7,无锡,48,中大型车,11.99-14.99,燃油车,12
雷克萨斯NX,无锡,48,SUV,31.88-54.88,燃油车,2
哈弗H6,无锡,48,SUV,9.89-14.69,燃油车,2
雷克萨斯RX,无锡,48,SUV,38.00-61.90,燃油车,2
瑞虎9,芜湖,48,SUV,15.29-20.99,燃油车,2
海豹05 DM-i,绍兴,14,紧凑型车,7.98-10.38,新能源,0
皓影,渭南,48,SUV,18.59-26.39,燃油车,2
卡罗拉锐放,威海,48,SUV,12.98-18.48,燃油车,2
宝马X5,潍坊,48,SUV,61.50-83.00,燃油车,2
哈弗枭龙MAX,唐山,48,SUV,13.18-17.98,燃油车,2
驱逐舰05,唐山,48,紧凑型车,7.98-13.68,燃油车,3
途岳,唐山,48,SUV,12.59-21.66,燃油车,2
途观L,唐山,48,SUV,18.68-26.68,燃油车,2
宝来,唐山,48,紧凑型车,11.29-14.39,燃油车,3
探岳,泰州,48,SUV,19.89-25.99,燃油车,2
轩逸,泰州,48,紧凑型车,10.86-17.49,燃油车,10
魏牌 高山,苏州,48,MPV,30.98-40.58,燃油车,1
坦克300,苏州,48,SUV,19.98-33.00,燃油车,2
ID.4 X,苏州,48,SUV,15.99-28.34,燃油车,2
AION UT,韶关,14,小型车,6.98-10.18,新能源,9
五菱宏光新能源,韶关,14,MPV,6.88-7.38,新能源,1
逸动,宿迁,48,紧凑型车,7.29-9.69,燃油车,3
捷达VA3,绥化,48,紧凑型车,6.58-9.48,燃油车,3
宏光MINIEV,汕尾,14,微型车,3.28-9.99,新能源,9
奇瑞iCAR V23,深圳,48,SUV,9.98-14.98,燃油车,2
哈弗枭龙MAX,深圳,48,SUV,13.18-17.98,燃油车,2
腾势D9,汕头,14,MPV,33.98-66.00,新能源,1
沃尔沃S60,深圳,48,中型车,30.69-38.49,燃油车,4
天籁,深圳,48,中型车,17.98-23.98,燃油车,4
路虎卫士,深圳,48,SUV,68.80-171.60,燃油车,2
普拉多,深圳,48,SUV,44.98-55.98,燃油车,2
宝马X5,绍兴,48,SUV,61.50-83.00,燃油车,2
奥迪A4L,绍兴,48,中型车,28.98-40.08,燃油车,4
帕萨特,绍兴,48,中型车,16.45-23.99,燃油车,5
哈弗H6,泉州,48,SUV,9.89-14.69,燃油车,2
AION UT,商丘,14,小型车,6.98-10.18,新能源,9
五菱之光新能源,商丘,14,MPV,4.78-5.08,新能源,1
汉L,商丘,14,中大型车,20.98-27.98,新能源,11
宝来,齐齐哈尔,48,紧凑型车,11.29-14.39,燃油车,3
英仕派,清远,48,中型车,18.28-22.98,燃油车,4
伊兰特,青岛,48,紧凑型车,9.98-14.98,燃油车,3
五菱缤果,宁波,48,小型车,5.68-8.88,燃油车,12
汉兰达,商丘,14,SUV,24.98-34.88,新能源,9
帝豪,宁波,48,紧凑型车,6.29-14.98,燃油车,3
零跑C10,三亚,14,SUV,12.28-16.88,新能源,9
海豹05 DM-i,三明,14,紧凑型车,7.98-10.38,新能源,0
海狮05 DM-i,三明,14,SUV,10.28-14.28,新能源,9
星瑞,南阳,48,紧凑型车,9.97-14.57,燃油车,3
深蓝S05,三门峡,14,SUV,11.99-14.99,新能源,9
长安CS75 PLUS,南充,48,SUV,11.39-14.99,燃油车,2
朗逸,马鞍山,48,紧凑型车,8.00-15.19,燃油车,3
宋L DM-i,日照,14,SUV,13.58-17.58,新能源,9
海豹06GT,日照,14,中型车,13.68-18.68,新能源,7
星愿,泸州,48,小型车,6.88-9.78,燃油车,12
AION V,日照,14,SUV,12.98-19.36,新能源,9
零跑C11,日照,14,SUV,14.88-20.98,新能源,9
银河星耀8,洛阳,48,中大型车,12.58-16.58,燃油车,12
艾瑞泽8,洛阳,48,紧凑型车,9.99-14.89,燃油车,3
博越L,临沂,48,SUV,9.99-14.97,燃油车,2
奥迪A4L,临沂,48,中型车,28.98-40.08,燃油车,4
零跑B10,衢州,14,SUV,9.98-14.98,新能源,9
长安Lumin,辽阳,48,微型车,3.79-6.59,燃油车,12
小鹏G9,衢州,14,SUV,24.88-35.99,新能源,9
途观L,乐山,48,SUV,18.68-26.68,燃油车,2
星瑞,九江,48,紧凑型车,9.97-14.57,燃油车,3
海豹06GT,曲靖,14,中型车,13.68-18.68,新能源,7
宝马3系,九江,48,中型车,29.99-39.99,燃油车,4
荣威i5,晋城,48,紧凑型车,6.89-9.09,燃油车,3
速腾,吉林,48,紧凑型车,12.79-17.29,燃油车,3
捷途X70,嘉兴,48,SUV,10.69-14.99,燃油车,2
AION Y,泉州,14,SUV,9.98-14.58,新能源,9
奥迪Q3,嘉兴,48,SUV,25.18-29.68,燃油车,2
AION S,泉州,14,紧凑型车,13.98-17.98,新能源,0
艾瑞泽8,吉安,48,紧凑型车,9.99-14.89,燃油车,3
雷克萨斯ES,湖州,48,中大型车,29.69-48.89,燃油车,12
奥迪A6L,淮安,48,中大型车,42.79-65.68,燃油车,12
五菱缤果PLUS,桂林,48,SUV,7.58-9.88,燃油车,2
红旗HS3 PHEV,齐齐哈尔,14,SUV,15.98-15.98,新能源,9
唐新能源,齐齐哈尔,14,SUV,17.98-26.98,新能源,9
帕萨特,赣州,48,中型车,16.45-23.99,燃油车,5
元PLUS,钦州,14,SUV,11.58-14.78,新能源,9
迈腾,佛山,48,中型车,17.49-24.69,燃油车,6
途观L,达州,48,SUV,18.68-26.68,燃油车,2
银河E5,大连,48,SUV,11.28-14.88,燃油车,2
哈弗二代大狗,大连,48,SUV,13.58-15.68,燃油车,2
红旗HS5,大连,48,SUV,18.38-24.98,燃油车,2
本田CR-V,大理,48,SUV,18.59-26.39,燃油车,2
帕萨特,承德,48,中型车,16.45-23.99,燃油车,5
五菱缤果PLUS,滨州,48,SUV,7.58-9.88,燃油车,2
长安Lumin,保山,48,微型车,3.79-6.59,燃油车,12
红旗HS5,保定,48,SUV,18.38-24.98,燃油车,2
传祺GS8,保定,48,SUV,15.98-24.68,燃油车,2
君越,保定,48,中型车,17.99-23.99,燃油车,4
轩逸,安阳,48,紧凑型车,10.86-17.49,燃油车,10
荣威i5,鞍山,48,紧凑型车,6.89-9.09,燃油车,3
RAV4荣放,鞍山,48,SUV,16.98-26.38,燃油车,2
速腾,鞍山,48,紧凑型车,12.79-17.29,燃油车,3
凯美瑞,安庆,48,中型车,17.18-25.98,燃油车,13
长安启源Q07,阿克苏,48,SUV,12.98-17.18,燃油车,2
银河L7,阿克苏,48,SUV,11.58-16.97,燃油车,2
RAV4荣放,阿克苏,48,SUV,16.98-26.38,燃油车,2
eπ008,郑州,48,SUV,17.86-20.36,燃油车,2
皇冠陆放,郑州,48,SUV,27.78-35.28,燃油车,2
沃尔沃S90,郑州,48,中大型车,40.69-50.59,燃油车,12
捷途旅行者,银川,48,SUV,13.99-23.99,燃油车,2
轩逸,银川,48,紧凑型车,10.86-17.49,燃油车,10
豹5,西宁,48,SUV,23.98-32.98,燃油车,2
奥迪Q5L,西宁,48,SUV,34.98-48.88,燃油车,2
亚洲龙,西安,48,中型车,17.88-27.98,燃油车,4
秦L,黔西南,14,中型车,9.98-15.38,新能源,7
奥迪Q3,西安,48,SUV,25.18-29.68,燃油车,2
海狮05 EV,黔南,14,SUV,11.78-13.78,新能源,9
宋L DM-i,黔南,14,SUV,13.58-17.58,新能源,9
红旗HS5,乌鲁木齐,48,SUV,18.38-24.98,燃油车,2
宝来,乌鲁木齐,48,紧凑型车,11.29-14.39,燃油车,3
捷途山海T1,武汉,48,SUV,13.49-17.99,燃油车,2
宋L DM-i,黔东南,14,SUV,13.58-17.58,新能源,9
长安启源A07,武汉,48,中大型车,11.99-17.69,燃油车,12
蒙迪欧,天津,48,中型车,14.98-22.98,燃油车,4
元PLUS,黔东南,14,SUV,11.58-14.78,新能源,9
海豚,黔东南,14,小型车,9.98-12.98,新能源,9
传祺M6,太原,48,MPV,11.98-15.98,燃油车,1
北京BJ30,沈阳,48,SUV,9.99-13.69,燃油车,2
五菱宏光S,沈阳,48,MPV,0.00-0.00,燃油车,1
日产N7,南宁,48,中大型车,11.99-14.99,燃油车,12
零跑B10,濮阳,14,SUV,9.98-14.98,新能源,9
途观L,南宁,48,SUV,18.68-26.68,燃油车,2
奥迪A4L,南宁,48,中型车,28.98-40.08,燃油车,4
深蓝S05,濮阳,14,SUV,11.99-14.99,新能源,9
智己L6,南京,48,中大型车,21.99-34.59,燃油车,12
银河星舰7 EM-i,南昌,48,SUV,10.38-13.68,燃油车,2
星瑞,兰州,48,紧凑型车,9.97-14.57,燃油车,3
零跑C10,莆田,14,SUV,12.28-16.88,新能源,9
奔腾小马,昆明,48,微型车,2.49-5.39,燃油车,12
零跑C11,莆田,14,SUV,14.88-20.98,新能源,9
跨越星V3,昆明,48,MPV,3.39-4.79,燃油车,1
雷克萨斯RX,昆明,48,SUV,38.00-61.90,燃油车,2
威兰达,济南,48,SUV,17.38-26.48,燃油车,2
哈弗二代大狗,呼和浩特,48,SUV,13.58-15.68,燃油车,2
格瑞维亚,呼和浩特,48,MPV,29.98-41.68,燃油车,1
凯迪拉克XT5,合肥,48,SUV,35.27-45.99,燃油车,2
宋L DM-i,平凉,14,SUV,13.58-17.58,新能源,9
长安UNI-Z新能源,平凉,14,SUV,11.79-13.39,新能源,9
途观L,海口,48,SUV,18.68-26.68,燃油车,2
奔驰C级,海口,48,中型车,33.48-38.06,燃油车,4
银河E5,哈尔滨,48,SUV,11.28-14.88,燃油车,2
蒙迪欧,哈尔滨,48,中型车,14.98-22.98,燃油车,4
奔腾B70,贵阳,48,中型车,9.88-14.49,燃油车,1
锐界,广州,48,SUV,22.68-30.98,燃油车,2
天籁,广州,48,中型车,17.98-23.98,燃油车,4
领克Z20,重庆,48,SUV,13.89-15.39,燃油车,2
豹8,重庆,48,SUV,37.98-42.38,燃油车,2
深蓝S05,盘锦,14,SUV,11.99-14.99,新能源,9
哈弗猛龙新能源,盘锦,14,SUV,16.58-19.28,新能源,9
缤越,长沙,48,SUV,6.68-10.38,燃油车,2
传祺GS3,北京,47,SUV,8.58-11.18,燃油车,2
奔驰GLC,中山,47,SUV,42.78-53.13,燃油车,2
秦PLUS,宁德,14,紧凑型车,7.98-17.98,新能源,0
帕萨特,昭通,47,中型车,16.45-23.99,燃油车,5
北京越野BJ40增程,宁波,14,SUV,17.98-29.98,新能源,9
哈弗猛龙新能源,宁波,14,SUV,16.58-19.28,新能源,9
RAV4荣放,漳州,47,SUV,16.98-26.38,燃油车,2
途观L,枣庄,47,SUV,18.68-26.68,燃油车,2
昂科威Plus,运城,47,SUV,22.99-25.99,燃油车,2
博越L,烟台,47,SUV,9.99-14.97,燃油车,2
皇冠陆放,烟台,47,SUV,27.78-35.28,燃油车,2
伊兰特,烟台,47,紧凑型车,9.98-14.98,燃油车,3
魏牌 高山,徐州,47,MPV,30.98-40.58,燃油车,1
长安UNI-V,徐州,47,紧凑型车,10.89-13.99,燃油车,3
赛那SIENNA,徐州,47,MPV,29.98-41.18,燃油车,1
途观L,信阳,47,SUV,18.68-26.68,燃油车,2
本田CR-V,信阳,47,SUV,18.59-26.39,燃油车,2
零跑B10,南通,14,SUV,9.98-14.98,新能源,9
探岳,新乡,47,SUV,19.89-25.99,燃油车,2
小鹏X9,南通,14,MPV,35.98-41.98,新能源,1
迈腾,厦门,47,中型车,17.49-24.69,燃油车,6
极氪001,南通,14,中大型车,25.90-32.90,新能源,11
大众ID.3,无锡,47,紧凑型车,12.99-15.59,燃油车,3
荣威i5,无锡,47,紧凑型车,6.89-9.09,燃油车,3
君威,无锡,47,中型车,15.98-17.58,燃油车,4
海狮05 EV,南平,14,SUV,11.78-13.78,新能源,9
蒙迪欧,无锡,47,中型车,14.98-22.98,燃油车,4
星越L,武威,47,SUV,13.72-17.97,燃油车,2
奇瑞iCAR 03,芜湖,47,SUV,10.98-16.98,燃油车,2
瑞虎8 PRO,芜湖,47,SUV,11.99-16.69,燃油车,2
奔驰GLC,芜湖,47,SUV,42.78-53.13,燃油车,2
奔驰GLB,温州,47,SUV,31.19-36.79,燃油车,2
昂科威Plus,温州,47,SUV,22.99-25.99,燃油车,2
轩逸,温州,47,紧凑型车,10.86-17.49,燃油车,10
探岳,通辽,47,SUV,19.89-25.99,燃油车,2
奔驰E级,唐山,47,中大型车,44.72-59.98,燃油车,12
银河E5,泰州,47,SUV,11.28-14.88,燃油车,2
朗逸,泰州,47,紧凑型车,8.00-15.19,燃油车,3
零跑B10,绵阳,14,SUV,9.98-14.98,新能源,9
智界R7,绵阳,14,SUV,24.98-33.98,新能源,9
速腾,泰州,47,紧凑型车,12.79-17.29,燃油车,3
星越L,泰安,47,SUV,13.72-17.97,燃油车,2
揽胜,苏州,47,SUV,141.20-379.50,燃油车,2
坦克300,深圳,47,SUV,19.98-33.00,燃油车,2
沃尔沃XC90,深圳,47,SUV,63.89-78.19,燃油车,2
本田CR-V,汕头,47,SUV,18.59-26.39,燃油车,2
星瑞,上饶,47,紧凑型车,9.97-14.57,燃油车,3
唐新能源,绵阳,14,SUV,17.98-26.98,新能源,9
本田CR-V,三门峡,47,SUV,18.59-26.39,燃油车,2
星愿,黔东南,47,小型车,6.88-9.78,燃油车,12
唐L,梅州,14,SUV,22.98-28.98,新能源,9
宋L DM-i,梅州,14,SUV,13.58-17.58,新能源,9
海豚,梅州,14,小型车,9.98-12.98,新能源,9
问界M9,眉山,14,SUV,46.98-56.98,新能源,9
星愿,盘锦,47,小型车,6.88-9.78,燃油车,12
格瑞维亚,盘锦,47,MPV,29.98-41.68,燃油车,1
欧拉好猫,宁波,47,小型车,10.58-13.58,燃油车,12
皓影,宁波,47,SUV,18.59-26.39,燃油车,2
探岳,洛阳,47,SUV,19.89-25.99,燃油车,2
宝骏享境,柳州,47,中大型车,12.98-15.38,燃油车,12
逸动,六盘水,47,紧凑型车,7.29-9.69,燃油车,3
问界M9,马鞍山,14,SUV,46.98-56.98,新能源,9
小麒麟,聊城,47,微型车,4.99-5.19,燃油车,12
秦L,吕梁,14,中型车,9.98-15.38,新能源,7
RAV4荣放,克拉玛依,47,SUV,16.98-26.38,燃油车,2
奔驰GLB,金华,47,SUV,31.19-36.79,燃油车,2
纳米01,晋城,47,小型车,6.58-13.98,燃油车,12
AION RT,泸州,14,紧凑型车,11.98-16.58,新能源,0
零跑C16,泸州,14,SUV,15.18-18.98,新能源,9
长安CS55PLUS,吉林,47,SUV,9.29-12.59,燃油车,2
元PLUS,泸州,14,SUV,11.58-14.78,新能源,9
五菱缤果,嘉兴,47,小型车,5.68-8.88,燃油车,12
汉兰达,泸州,14,SUV,24.98-34.88,新能源,9
长安UNI-Z新能源,洛阳,14,SUV,11.79-13.39,新能源,9
红旗HS5,嘉兴,47,SUV,18.38-24.98,燃油车,2
凌渡,嘉兴,47,紧凑型车,14.39-19.09,燃油车,3
缤越,江门,47,SUV,6.68-10.38,燃油车,2
帝豪,呼伦贝尔,47,紧凑型车,6.29-14.98,燃油车,3
探岳,淮安,47,SUV,19.89-25.99,燃油车,2
QQ冰淇淋,菏泽,47,微型车,2.99-5.69,燃油车,12
汉兰达,洛阳,14,SUV,24.98-34.88,新能源,9
卡罗拉锐放,衡阳,47,SUV,12.98-18.48,燃油车,2
五菱之光新能源,漯河,14,MPV,4.78-5.08,新能源,1
红旗HS5,邯郸,47,SUV,18.38-24.98,燃油车,2
银河星耀8,赣州,47,中大型车,12.58-16.58,燃油车,12
雅阁,赣州,47,中型车,17.98-23.88,燃油车,4
风云T9,鄂尔多斯,47,SUV,12.99-19.39,燃油车,2
问界M9,六安,14,SUV,46.98-56.98,新能源,9
理想L7,六安,14,SUV,30.18-35.98,新能源,9
枫叶60s,鄂尔多斯,47,紧凑型车,9.98-16.38,燃油车,3
哈弗大狗,鄂尔多斯,47,SUV,11.99-16.79,燃油车,2
银河星耀8,东莞,47,中大型车,12.58-16.58,燃油车,12
哈弗二代大狗,大同,47,SUV,13.58-15.68,燃油车,2
银河L6,大连,47,紧凑型车,8.28-14.98,燃油车,3
瑞虎8 PLUS,大连,47,SUV,10.99-16.29,燃油车,2
问界M7,娄底,14,SUV,24.98-32.98,新能源,9
卡罗拉锐放,赤峰,47,SUV,12.98-18.48,燃油车,2
昂科威Plus,赤峰,47,SUV,22.99-25.99,燃油车,2
firefly萤火虫,常州,47,小型车,11.98-12.58,燃油车,12
小鹏MONA M03,龙岩,14,紧凑型车,11.98-15.58,新能源,0
宝马X5,常州,47,SUV,61.50-83.00,燃油车,9
小麒麟,沧州,47,微型车,4.99-5.19,燃油车,12
传祺M8,沧州,47,MPV,17.98-34.28,燃油车,1
